Chapter004_011_ゼノフロント
 2        第一章「交錯する宇宙」

 4        目を開けた瞬間、真っ先に確認したのは、自分が横浜基地に戻っていないかどうか、ということだった。
 5        けれど目に映ったのは見知らぬ部屋だった。どうやら、この長い夢は簡単には覚めてくれないらしい。
 6        NONE

       御剣冥夜
 10       ……悩んでいても意味はないな。
 11       まずは出来ることをする。冥夜は充てがわれた部屋の中で日課のトレーニングを始めた。
 12       それは平常心を保つための術だった。個人の能力では変えようがない状況に直面した時、少なくとも自分の信念を失わずにいれば、奔流の中でも踏ん張っていられる。
 13       一つのことに専念していると、時間が過ぎるのも早い。ほどなくして部屋のドアをノックする音が聞こえて来た。
 14       冥夜がドアを開けると、背の高いメイドが目の前に現れた。

       P-47B サンダーボルト
 16       朝食の準備が整いました。食堂までご案内いたします。代理人さまと他のお二人も、すでに向こうであなたをお待ちです。

       御剣冥夜
 17       了解しました。

       P-47B サンダーボルト
 18       あら、そうでした。あなたさまの母国語は日本語では？このブレスレットを御着用くださいませ。音声が自動的に変換されます。
 20       相手の申し出に様々な疑念を抱きながらも、冥夜は指示された通りにブレスレットを身に着けた
 21       おそらく脱走防止用の電子手錠の類ではないだろうか？発信機を具えていて、こちらの位置が常に知られているのだ。
 22       正直なところ、異なる武装組織の人間が、自らの武器を取り上げられることなく済んでいるだけでも、相当に丁重な扱いを受けているというべきだ。
 23       この上でどんな粗末な服、食事を与えられ、監禁されることになったとしても、その心の準備はできているつもりだった。
 24       けれど冥夜の視線は、無意識にこのメイドの恰好をした人物に引き寄せられていた。いや、そもそも彼女は本当に人間なのだろうか？
 25       昨晩、目の前にいる彼女のような少女が機銃を手に、あの砲弾ですら傷一つ付けられなかった怪物を撃墜しているのを、この目で見ていた。
 26       思い返す度、まるで夢の中の出来事のようだ。自分の知っている世界とは、あらゆる点で大きな隔たりがあった。
